date,M1,M2,M3,M4,M6,FS1
2001-02,33.77367538,NA,NA,NA,NA,NA
2001-03,13.75825077,NA,NA,NA,NA,NA
2001-04,33.77367538,NA,NA,NA,NA,NA
2001-05,13.72929031,1.984018052,NA,NA,NA,NA
2001-06,17.37555401,2.575477719,NA,NA,NA,NA
2001-07,15.8904773,3.105346942,NA,NA,NA,NA
2001-08,18.18657114,2.33294669,NA,NA,NA,NA
2001-09,24.38285089,5.25448784,NA,NA,NA,NA
2001-10,61.13247256,11.55508581,NA,NA,NA,NA
2001-11,58.59677082,5.573993567,NA,NA,NA,NA
2001-12,42.74450104,9.274073644,NA,NA,NA,NA
2002-01,134.0441553,15.92388298,NA,NA,NA,NA
2002-02,174.2192069,18.43224513,NA,NA,NA,NA
2002-03,68.39811123,7.720923275,NA,NA,NA,NA
2002-04,58.7170331,6.295092179,NA,NA,NA,NA
2002-05,38.73707206,5.830170322,NA,NA,NA,NA
2002-06,27.98788115,4.586810831,NA,NA,NA,NA
2002-07,12.35388716,2.459971191,55.88937248,NA,NA,NA
2002-08,13.27184538,2.256313782,40.04334407,NA,NA,NA
2002-09,13.4347439,2.122848344,66.94666453,NA,NA,NA
2002-10,35.10674538,8.794961356,55.88937248,NA,NA,NA
2002-11,84.47776298,13.95513476,40.1225171,NA,NA,NA
2002-12,47.12511412,13.24578721,68.42171836,NA,NA,NA
2003-01,141.4613045,14.09095959,143.3932566,NA,NA,29.88883439
2003-02,90.7274656,9.379053086,145.0851474,NA,NA,42.87279478
2003-03,38.5696412,5.184422188,88.57043315,NA,NA,29.08012806
2003-04,48.88811773,4.520771628,39.73934597,7.678497951,NA,14.56139032
2003-05,30.66301893,5.445330841,39.78021193,20.56075535,NA,13.48029662
2003-06,17.19010631,3.225555116,30.06374597,10.16722506,NA,12.45759293
2003-07,15.40883053,3.282822329,16.43082659,6.445631519,NA,8.562574552
2003-08,37.43066617,1.833204742,13.11017602,7.300492079,NA,4.297892969
2003-09,48.32239283,2.878525251,25.65612887,17.77185364,NA,6.577877053
2003-10,106.5948953,7.9181678,40.90890064,24.54503615,NA,10.13917096
2003-11,68.51420877,11.90304887,103.9781886,35.36716163,NA,34.26629096
2003-12,138.4332077,10.1420296,59.34747782,30.47055535,NA,18.97172279
2004-01,85.66539825,11.53916035,119.9882074,68.90818731,NA,38.6765618
2004-02,111.9124022,8.508925245,64.34913191,66.08350601,NA,25.04617377
2004-03,64.55178673,9.061749652,100.0626867,46.03436022,NA,31.31789141
2004-04,38.50543972,6.370017035,58.63472759,27.73855402,NA,15.51355341
2004-05,27.57769697,1.916732533,32.08634127,16.62654966,NA,6.644138203
2004-06,23.18424878,3.416831243,21.49562661,11.89242755,NA,8.440865155
2004-07,32.27083761,2.778591843,19.09731746,10.10871877,NA,4.780879823
2004-08,70.54886577,4.765318747,24.23968495,8.144107132,NA,9.390011937
2004-09,69.51287328,7.835168487,61.47098085,32.48406381,NA,18.37031208
2004-10,62.74894543,11.90412607,70.7468631,24.89131509,NA,26.89527262
2004-11,174.0442708,5.86970129,42.57055748,33.95716625,NA,9.820104032
2004-12,196.2585698,9.711785597,135.3013704,81.64243701,NA,26.14264772
2005-01,66.5593377,18.04508264,164.1891597,89.14670865,NA,48.66968613
2005-02,51.19415052,8.523186604,53.96199767,34.7514757,NA,11.23668264
2005-03,49.76274504,5.831394399,41.62484202,16.94413519,NA,17.94510758
2005-04,23.65442608,5.686779083,43.9123714,18.6379459,NA,13.75152827
2005-05,17.25513527,4.850411006,25.04472209,10.27005443,NA,12.43361223
2005-06,18.38877168,2.26102688,16.33894838,11.80168004,NA,7.297650402
2005-07,27.14988074,2.267552627,15.78027345,15.88942303,NA,4.910088626
2005-08,45.95282708,1.795957937,21.12639115,25.2223459,NA,5.120216625
2005-09,71.07423998,4.779703114,40.39883853,34.5297439,NA,14.7517021
2005-10,98.04409474,8.267000492,65.34348598,37.43458868,NA,26.43028786
2005-11,60.428918,9.384131437,88.11024413,74.11028859,NA,25.375269
2005-12,93.11752671,6.579438786,53.87961851,47.17689015,NA,15.73146162
2006-01,66.48454677,7.271475198,91.42098371,67.42494594,NA,31.50860887
2006-02,57.91079958,7.5217258,67.30887386,47.29649753,NA,27.44563215
2006-03,46.2125453,10.81702556,71.52608501,31.93005183,NA,32.4001333
2006-04,33.56716491,3.05535452,39.29138615,45.82301105,NA,7.520420766
2006-05,19.46441955,4.375569299,35.35791657,17.56679091,NA,18.60127631
2006-06,20.34970487,1.267951964,17.39792347,15.78159488,NA,5.11502466
2006-07,18.0046614,1.396111844,20.33774257,12.6747521,NA,6.874283228
2006-08,49.57725479,2.576056671,9.434358402,17.74706806,NA,4.467820396
2006-09,51.01400998,4.889307062,26.1571527,21.93139823,52.71162978,4.025875033
2006-10,120.137454,8.912848079,24.25166008,33.38157307,76.83014191,3.932034397
2006-11,168.3365533,10.26776143,57.02390399,94.40786177,149.5004964,4.026619445
2006-12,174.2825282,11.69340278,86.26528565,104.3613036,206.0233118,4.244059
2007-01,149.1553468,14.62139819,80.887838,138.0150804,184.7819876,4.553692484
2007-02,163.9420997,7.224840422,82.68911582,76.56927962,183.5475355,4.940030096
2007-03,39.84748433,7.638459081,60.32759178,100.7353783,152.3003853,5.394972073
2007-04,64.93006157,1.877284467,10.3348613,19.62307094,32.79089927,5.914344212
2007-05,21.84511804,3.018065781,21.87626874,15.07610891,49.98771113,6.496204469
